xmin,ymin,xmax,ymax,confidence,class,timestamp,classifier
36,307.1916809,345.698822,409.9959412,521.8248291,0.7294226885,16,14,pruned_quant-aggressive_98
37,216.9042358,92.472229,392.9486694,642.8870239,0.9139905572,0,15,pruned_quant-aggressive_98
38,381.9154663,251.77034,460.3026733,535.5244751,0.7760045528,0,15,pruned_quant-aggressive_98
39,308.2481689,346.2997131,409.9614258,523.0927734,0.6724752784,16,15,pruned_quant-aggressive_98
40,216.1468048,93.36895752,393.8867798,643.7421265,0.914644599,0,16,pruned_quant-aggressive_98
41,380.0134583,250.9210968,459.9089661,537.2549438,0.7707804441,0,16,pruned_quant-aggressive_98
42,215.2126007,92.22509766,394.0894775,642.7640991,0.9074946046,0,17,pruned_quant-aggressive_98
43,380.5823669,251.7263947,459.2521667,535.7666016,0.7729322314,0,17,pruned_quant-aggressive_98
44,309.0678406,339.9172974,407.6358948,519.9268799,0.6478380561,16,17,pruned_quant-aggressive_98
45,214.2697449,94.8236084,394.1281433,642.7345581,0.9082431197,0,18,pruned_quant-aggressive_98
46,378.155304,250.5760498,458.5235291,535.4765625,0.8091530204,0,18,pruned_quant-aggressive_98
47,309.5075989,333.1997375,406.532196,529.8186035,0.5523856282,16,18,pruned_quant-aggressive_98
48,213.130188,94.89105225,386.2471924,640.9008179,0.9045965672,0,19,pruned_quant-aggressive_98
49,310.449707,330.6215515,404.9417114,534.1812134,0.80847013,16,19,pruned_quant-aggressive_98
50,377.3977661,250.5449829,457.3964233,535.0929565,0.7962533236,0,19,pruned_quant-aggressive_98
51,211.7185669,94.55532837,386.0709229,640.9215088,0.9077292085,0,20,pruned_quant-aggressive_98
52,375.7390137,251.7536316,455.4813232,535.9528809,0.7921665907,0,20,pruned_quant-aggressive_98
53,310.3111877,330.7671814,402.2131653,535.5143433,0.7879014015,16,20,pruned_quant-aggressive_98
54,211.1369629,96.18191528,384.8757324,641.3006592,0.9085621834,0,21,pruned_quant-aggressive_98
55,372.1479492,252.5377045,455.5354004,538.0734863,0.7890598774,0,21,pruned_quant-aggressive_98
56,310.4003296,335.1616516,398.1702881,538.026001,0.5820379257,16,21,pruned_quant-aggressive_98
57,209.9173889,97.9786377,381.4842834,641.1925659,0.905543685,0,22,pruned_quant-aggressive_98
58,373.1452637,255.6152191,454.7615356,541.392395,0.7971025109,0,22,pruned_quant-aggressive_98
59,310.461731,336.5807495,397.0930786,540.3591919,0.6780871153,16,22,pruned_quant-aggressive_98
60,209.2164612,108.028595,383.1452942,641.2022705,0.8992412686,0,23,pruned_quant-aggressive_98
61,372.0301514,260.6708374,454.8759766,545.9185181,0.7759191394,0,23,pruned_quant-aggressive_98
62,310.4310303,342.8701477,398.2229614,543.5267334,0.5282104015,16,23,pruned_quant-aggressive_98
63,209.4767761,109.8345337,381.3608093,640.7119751,0.9078547955,0,24,pruned_quant-aggressive_98
64,373.0801392,264.5115356,455.4245605,549.2376099,0.7343501449,0,24,pruned_quant-aggressive_98
65,311.1049805,347.1705322,399.3218384,542.9691162,0.5546992421,16,24,pruned_quant-aggressive_98
66,210.1500549,107.1717224,382.572113,639.6861572,0.9040653706,0,25,pruned_quant-aggressive_98
67,373.0903625,267.8638,456.5525818,551.2530518,0.7416350245,0,25,pruned_quant-aggressive_98
68,312.7452087,349.0605469,399.2513733,552.1193848,0.511374414,14,25,pruned_quant-aggressive_98
69,211.4694977,101.0258484,383.7184448,641.3054199,0.8868989348,0,26,pruned_quant-aggressive_98
70,313.652832,352.7354736,401.9547119,552.6816406,0.8250854015,16,26,pruned_quant-aggressive_98
71,375.2294006,270.0267334,457.6791687,551.9915771,0.723436594,0,26,pruned_quant-aggressive_98
72,211.9649048,96.07595825,387.1802368,641.4831543,0.8832198977,0,27,pruned_quant-aggressive_98
73,375.7217712,269.8608398,458.5175476,552.7702026,0.7210149765,0,27,pruned_quant-aggressive_98
74,318.5578613,356.2033081,402.7136841,551.9091797,0.5786958337,16,27,pruned_quant-aggressive_98
75,211.4358521,91.10083008,398.3365479,643.1663818,0.879126668,0,28,pruned_quant-aggressive_98
76,373.3287354,269.8372803,457.881958,552.854187,0.7141188383,0,28,pruned_quant-aggressive_98
77,209.9832001,98.47067261,393.9498901,642.241333,0.8921400309,0,29,pruned_quant-aggressive_98
78,372.017395,268.1173706,455.958313,551.5819702,0.7706385851,0,29,pruned_quant-aggressive_98
79,207.4816284,99.08218384,389.2825317,641.6536865,0.8931788206,0,30,pruned_quant-aggressive_98
80,371.4238892,266.8851929,453.6467896,550.666748,0.7787194252,0,30,pruned_quant-aggressive_98
81,205.3725586,95.6968689,381.1292114,641.7758789,0.8880178332,0,31,pruned_quant-aggressive_98
82,371.232605,264.228302,451.7405396,549.7384033,0.8034786582,0,31,pruned_quant-aggressive_98
83,308.6064758,354.9761963,399.1377869,550.1338501,0.5837699175,16,31,pruned_quant-aggressive_98
84,203.9554749,99.77758789,376.7319641,641.7537231,0.8939384818,0,32,pruned_quant-aggressive_98
85,368.6094666,262.73526,449.9109802,549.0318604,0.8109664917,0,32,pruned_quant-aggressive_98
86,306.7884521,348.3022156,400.4051514,548.918457,0.6729336381,16,32,pruned_quant-aggressive_98
87,202.816925,102.2833862,379.3078918,641.9621582,0.8880602717,0,33,pruned_quant-aggressive_98
88,366.8891602,263.6271362,449.2921753,549.6633911,0.8216400743,0,33,pruned_quant-aggressive_98
89,304.6465454,351.6727295,400.3641968,548.9345093,0.6358006597,16,33,pruned_quant-aggressive_98
90,202.0982056,100.9324951,381.3109741,642.6880493,0.8779140115,0,34,pruned_quant-aggressive_98
91,365.1395264,265.6710815,448.7285156,551.7758179,0.816547811,0,34,pruned_quant-aggressive_98
92,304.3898315,350.9368286,395.6995239,547.5791626,0.5363753438,16,34,pruned_quant-aggressive_98
93,201.9555511,102.1412354,373.6810913,641.7745361,0.8781202435,0,35,pruned_quant-aggressive_98
94,365.8562012,266.9268188,448.6821899,552.0113525,0.8041325808,0,35,pruned_quant-aggressive_98
95,303.1607971,350.2023621,396.6722107,546.3380127,0.4646555185,16,35,pruned_quant-aggressive_98
96,200.8722992,103.8995361,375.9869995,641.5435791,0.8851068616,0,36,pruned_quant-aggressive_98
97,365.088623,267.3639526,448.1640625,553.3425293,0.8321614265,0,36,pruned_quant-aggressive_98
98,302.3344421,351.2434692,394.6200867,546.0662231,0.5980000496,16,36,pruned_quant-aggressive_98
99,200.7966309,104.7218323,374.9659424,641.5568848,0.8800766468,0,37,pruned_quant-aggressive_98
100,365.5907288,267.7592163,448.2228699,553.8370361,0.8211523294,0,37,pruned_quant-aggressive_98
101,301.4515381,352.8202515,393.7826538,547.0731201,0.6404191256,16,37,pruned_quant-aggressive_98
102,200.5465698,103.7672424,381.7647095,641.8101807,0.8941248059,0,38,pruned_quant-aggressive_98
103,365.9960022,267.4999695,448.7240906,552.6677246,0.8061674833,0,38,pruned_quant-aggressive_98
104,301.8605347,352.5157776,394.6272583,545.137146,0.5965487361,16,38,pruned_quant-aggressive_98
105,202.4096069,101.4608459,381.8642578,641.7521973,0.9066377878,0,39,pruned_quant-aggressive_98
